,Thème,Question,A,B,C,D,Bonne réponse
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,L’épargne permet :,De dépenser plus immédiatement,De gérer les imprévus et préparer l’avenir,De réduire les impôts,De consommer davantage,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,La consommation différée est :,Un crédit,Une dépense immédiate,Une épargne pour un achat futur,Une réduction,C
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Épargner avant d’acheter un bien est :,Un acte de frustration,Une bonne habitude financière,Un réflexe rare,Un investissement risqué,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Pourquoi faut-il arbitrer ?,Pour éviter les taxes,Pour équilibrer ses priorités financières,Pour dépenser plus vite,Pour mieux consommer,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Une dépense inutile est :,Un besoin,Un plaisir réfléchi,Un achat superflu,Une dépense obligatoire,C
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,L’impulsion de consommation peut être réduite par :,Le crédit à la consommation,L’épargne automatique,Les soldes,Les publicités,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Quel outil aide à arbitrer ?,Le découvert bancaire,Le budget prévisionnel,La carte de fidélité,Le crédit renouvelable,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Un bon arbitrage dépend :,Des promotions,Des besoins réels et des objectifs,De la météo,Des tendances,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,"Arbitrer, c’est aussi :",Choisir des produits de luxe,Investir au hasard,Prioriser entre plaisir immédiat et objectifs futurs,Acheter à crédit,C
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,La règle 24h consiste à :,Dépenser vite,Réfléchir 24h avant un achat non essentiel,Épargner 24 %,Acheter uniquement le week-end,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Une dépense prioritaire est :,Le dernier smartphone,Le loyer,Une montre de luxe,Une console de jeux,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Épargner 20 % de ses revenus permet :,De ne pas payer d’impôts,De préparer des projets,De consommer plus,D’obtenir un prêt,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,L’arbitrage est une compétence liée :,Au hasard,À la discipline financière,Aux paris sportifs,Aux crédits à taux variable,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Quel comportement illustre un bon arbitrage ?,Payer à crédit sans réfléchir,Planifier ses dépenses et épargnes,Suivre les publicités,Vivre au-dessus de ses moyens,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Un arbitrage efficace repose sur :,Les envies du moment,Un plan de dépenses et d’épargne,Les réseaux sociaux,Les crédits disponibles,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Savoir arbitrer est utile pour :,Augmenter son endettement,Réduire sa capacité d’épargne,Atteindre ses objectifs financiers,Dépenser au hasard,C
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,L’arbitrage concerne aussi :,Les produits de luxe uniquement,Les petits achats du quotidien,Les dons à des amis,Les dépenses invisibles,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,Une personne qui épargne sans jamais consommer :,Est équilibrée,Peut créer de la frustration,Vit pleinement,Respecte toutes ses envies,B
👛 Gestion financière personnelle,Savoir arbitrer entre consommation et épargne,L’épargne et la consommation doivent :,Se contredire,Être mises en opposition,S’harmoniser dans une stratégie financière,Être égales,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Pourquoi créer un plan d’investissement personnel ?,Pour imiter les autres,Pour investir au hasard,Pour atteindre ses objectifs financiers,Pour payer moins d’impôts,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un bon plan commence par :,Choisir une action,Évaluer sa situation financière,Ouvrir un compte en banque,Parier en Bourse,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quel facteur détermine votre stratégie d’investissement ?,La publicité,Votre profil de risque,Les tendances,Les conseils d’amis,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Investir selon ses objectifs permet :,De suivre les modes,De sécuriser ses placements,D’agir avec logique et efficacité,De multiplier les risques,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un horizon d’investissement est :,Le taux de rendement,La date de naissance,La durée prévue pour l’investissement,Le nom de l’action choisie,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quel type d’objectif privilégie un investissement long terme ?,Acheter un café,Préparer la retraite,Payer une facture,Acheter un vêtement,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Une allocation d’actifs bien pensée implique :,Mettre tout sur le même actif,Diversifier selon le profil,Suivre les voisins,Limiter les produits financiers,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,La diversification permet :,D’augmenter les risques,De réduire l’exposition à un seul actif,De doubler les frais,D’éviter la fiscalité,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quel outil aide à bâtir un plan ?,Carte de crédit,Planificateur financier,Carte de fidélité,Publicité financière,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un investisseur prudent choisira :,Des produits très risqués,Des obligations ou fonds sécurisés,Des actions spéculatives,Des cryptos volatiles,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Le plan d’investissement doit être :,Fixe à vie,Révisé régulièrement selon les objectifs,Totalement figé,Sans horizon clair,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quelle proportion investir en actions pour un profil dynamique ?,"0,1","0,3",70 % ou plus,0,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quel facteur n’est pas à prendre en compte ?,Âge,Objectif,Couleur préférée,Durée d’investissement,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un plan d’investissement doit être :,Adapté à chacun,Générique,Le même pour tous,Inchangé quel que soit le contexte,A
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,"Investir sans plan, c’est :",Optimisé,Structuré,Risque de décisions impulsives,Recommandé,C
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un plan d’investissement personnel repose sur :,Des jeux de hasard,Une analyse de sa situation et de ses buts,Les réseaux sociaux,Le sentiment du marché,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,L’assurance-vie peut faire partie :,D’un plan de retraite uniquement,D’un plan d’investissement global,Des dettes,D’un prêt à court terme,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Quelle question poser avant d’investir ?,Quel influenceur suivre ?,Quel est mon objectif et mon délai ?,Quelle loterie gagner ?,Quel jeu acheter ?,B
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Un plan doit tenir compte :,Du revenu disponible,Des séries Netflix,Des envies du jour,Du climat politique uniquement,A
👛 Gestion financière personnelle,Créer un plan d’investissement personnel,Répartir entre plusieurs classes d’actifs :,Augmente la volatilité,Est inutile,Renforce la résilience du portefeuille,Réduit tous les rendements,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,Qu’est-ce qu’un biais cognitif ?,Une stratégie de marché,Une erreur de jugement systématique,Un taux d’intérêt,Une donnée macroéconomique,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais d’ancrage consiste à :,Changer souvent d’avis,"Se baser sur une information initiale, même obsolète",Réagir à la peur,Diversifier sans réfléchir,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais de confirmation pousse à :,Chercher des informations opposées,Confirmer les analyses d’un expert,Valider ce qu’on croit déjà,Ignorer les marchés,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,L’excès de confiance peut conduire à :,Une meilleure diversification,Des erreurs de jugement et prises de risque inutiles,Moins d’investissement,Des économies fiscales,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,La panique en cas de baisse est un biais :,Rationnel,Émotionnel,Statistique,Illogique,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Quel biais pousse à suivre la foule ?,Biais d’ancrage,Biais de représentativité,Biais grégaire,Biais d’optimisme,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais de statu quo pousse à :,Changer souvent de portefeuille,Ne rien faire même quand c’est nécessaire,Investir plus,Réagir trop vite,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Quel biais mène à surestimer les événements récents ?,Biais de récence,Biais d’autorité,Biais d’expertise,Biais d’ancrage,A
🧠 Comportement & psychologie,Biais cognitifs en investissement,Ignorer les pertes en pensant qu’elles vont se corriger seules est :,Une stratégie,Un réflexe rationnel,Le biais de disposition,Un comportement professionnel,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais de familiarité consiste à :,Investir uniquement dans ce qu’on connaît,Diversifier massivement,Choisir les produits complexes,Ignorer les marchés locaux,A
🧠 Comportement & psychologie,Biais cognitifs en investissement,L’effet de disposition est :,Une méthode d’achat,La tendance à vendre les gagnants et garder les perdants,Un effet fiscal,Un type de dividende,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais de représentativité mène à :,Analyser objectivement les entreprises,Croire qu’une entreprise connue est toujours fiable,Ne pas investir,Diversifier prudemment,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais d’optimisme exagéré peut pousser à :,Sous-évaluer les risques,Refuser d’investir,Ne pas prendre de décisions,Éviter les profits,A
🧠 Comportement & psychologie,Biais cognitifs en investissement,Quel biais est exacerbé en période de volatilité ?,Biais d’ancrage,Biais émotionnel,Biais fiscal,Biais de long terme,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Suivre une recommandation sans vérification est :,Un bon réflexe,Un biais d’autorité,Une stratégie gagnante,Une méthode rationnelle,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Penser qu’on peut battre le marché sans preuve est :,Un signe de prudence,Une stratégie diversifiée,Un excès de confiance,Un plan fiscal,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,Le biais de récence consiste à :,Donner plus d’importance aux données anciennes,Ignorer les tendances,Se focaliser sur les événements les plus récents,Analyser tout objectivement,C
🧠 Comportement & psychologie,Biais cognitifs en investissement,Quel biais nuit à la diversification ?,Biais de confirmation,Biais de familiarité,Biais de récence,Biais d’autorité,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,Une prise de conscience des biais cognitifs permet :,D’en créer d’autres,D’améliorer sa stratégie,D’augmenter les émotions,De perdre confiance,B
🧠 Comportement & psychologie,Biais cognitifs en investissement,L’éducation financière aide à :,Renforcer les biais,Réagir impulsivement,Réduire les biais cognitifs,Éviter d’investir,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Pourquoi est-il important de gérer ses émotions en bourse ?,Pour suivre les autres,Pour éviter les décisions irrationnelles,Pour copier les influenceurs,Pour payer moins d’impôts,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quelle émotion peut conduire à vendre en panique ?,La joie,La peur,La patience,La gratitude,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,L’euphorie en bourse pousse souvent à :,La prudence,L’attente,Investir sans analyse,Ne rien faire,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Le stress boursier est amplifié par :,Les livres de finance,La méditation,Les fluctuations quotidiennes,L’épargne,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,La peur de tout perdre pousse à :,Garder son sang-froid,Investir davantage,Prendre des décisions impulsives,Acheter plus d’ETF,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Comment réagir à une forte volatilité ?,Panique immédiate,Analyse rationnelle,Retrait sans réflexion,Achat compulsif,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quelle méthode aide à garder le contrôle ?,Rafraîchir les graphiques,Éviter tout investissement,Avoir une stratégie claire,Regarder les actualités toutes les heures,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quel comportement est dangereux ?,Rester calme,Réagir à chaud,Diversifier,Suivre un plan,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,La gestion des émotions repose sur :,La chance,L’improvisation,La discipline,Le hasard,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Un investisseur serein :,Suit son plan même en crise,Vend dès que ça baisse,Achète sur impulsion,Évite d’investir,A
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quelle émotion pousse à garder un actif perdant ?,La peur,La colère,L’espoir,L’euphorie,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Que faire après une perte importante ?,Réinvestir tout de suite,Analyser la situation à froid,Se fier à son intuition,Abandonner définitivement,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Les émotions fortes peuvent entraîner :,Une meilleure rentabilité,Des erreurs coûteuses,Plus de contrôle,Moins de risques,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Gérer ses émotions aide à :,Diminuer la rentabilité,Investir à crédit,Prendre des décisions réfléchies,Éviter l’épargne,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quel outil favorise une bonne gestion émotionnelle ?,Les réseaux sociaux,Un plan d’investissement,Une carte de crédit,Des rumeurs,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Quelle attitude illustre une mauvaise gestion émotionnelle ?,Prendre du recul,Suivre la panique collective,Respecter ses objectifs,Rester informé,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,La patience est :,Un défaut,Un obstacle à la réussite,Une qualité précieuse en investissement,Un biais cognitif,C
🧠 Comportement & psychologie,Gestion des émotions en bourse,Un bon investisseur est capable de :,Réagir au quart de tour,Agir avec discipline et sang-froid,Suivre le marché minute par minute,Investir sans objectifs,B
🧠 Comportement & psychologie,Gestion des émotions en bourse,Le contrôle émotionnel se développe par :,L’expérience et la préparation,Les rumeurs,Le trading impulsif,Les effets de mode,A
🧠 Comportement & psychologie,Gestion des émotions en bourse,Une perte temporaire doit être :,Un échec définitif,Acceptée et analysée objectivement,Ignorée,Amplifiée,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Que signifie FOMO ?,Fear Of Missing Out,Fast Options Market Outlook,Future Of Market Optimism,Financial Options Management Objective,A
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO pousse souvent à :,Vendre trop tôt,Acheter sans analyse par peur de rater une opportunité,Épargner trop,Attendre indéfiniment,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO est déclenché par :,Une analyse rationnelle,La pression sociale et les réseaux,Une stratégie long terme,Une crise économique,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quel comportement traduit le FOMO ?,Suivre un plan d’investissement,Investir à contre-courant,Acheter au sommet d’un marché en euphorie,Réinvestir les dividendes,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quelle émotion est liée au FOMO ?,L’indifférence,La peur,La fierté,La gratitude,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Comment limiter le FOMO ?,Investir au hasard,Consulter les tendances en ligne,Suivre une stratégie définie,Regarder les performances passées,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO conduit souvent à :,Des décisions rationnelles,Une gestion prudente,Des achats impulsifs,Une épargne renforcée,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quand le FOMO est-il plus présent ?,En période de crise,Lors d’un marché haussier très médiatisé,Pendant les publications fiscales,Après les dividendes,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quel outil aide à réduire le FOMO ?,Les influenceurs,Le plan d’investissement personnel,Les forums boursiers,Les chaînes de télévision,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO est dangereux car :,Il permet de gagner rapidement,Il pousse à investir trop peu,Il entraîne des décisions émotionnelles,Il augmente la rentabilité,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Un investisseur victime de FOMO :,Analyse calmement les opportunités,Vend avant les hausses,S’éloigne des médias,Surenchérit sans réflexion,D
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO peut être renforcé par :,Les médias,Les dividendes,Les taux d’intérêt,La planification,A
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quel comportement réduit le FOMO ?,Sauter sur chaque opportunité,Suivre les modes,Ignorer son plan,Respecter ses objectifs,D
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Une personne influencée par le FOMO :,Agit toujours avec recul,Investit uniquement sur analyse fondamentale,Suit les tendances populaires,Diversifie systématiquement,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quelle est une conséquence du FOMO ?,Une épargne renforcée,Des investissements réfléchis,Des pertes liées à des achats irrationnels,Une stabilité financière,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,"Pour éviter le FOMO, il faut :",Suivre la foule,Revoir ses objectifs,Regarder le prix en continu,Ignorer toute information,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Le FOMO s’oppose à :,La diversification,L’investissement passif,La discipline d’investissement,La gestion active,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Les performances passées élevées :,Garantissent les rendements futurs,Réduisent le risque,Suscitent souvent un effet FOMO,Évitent les biais cognitifs,C
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,Quel mot décrit aussi le FOMO en bourse ?,Frugalité,Pression sociale,Optimisation,Volatilité,B
🧠 Comportement & psychologie,Le FOMO et la peur de rater une opportunité,La clé pour maîtriser le FOMO est :,Ignorer les marchés,Diversifier sans réfléchir,Suivre une stratégie cohérente et documentée,Réagir aux mouvements quotidiens,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Que faire en cas de forte baisse de portefeuille ?,Vendre immédiatement,Analyser la situation calmement,Changer de banque,Investir tout sur une seule action,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,La première étape après une chute est :,Répandre la nouvelle,Paniquer,Évaluer l’impact réel,Doubler la mise,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Il est déconseillé de :,Suivre son plan,Diversifier,Agir sous l’effet de la panique,Rester calme,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Quelle qualité est essentielle en cas de baisse ?,L’émotivité,La patience,La panique,L’euphorie,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Les baisses de marché sont :,Toujours définitives,Souvent temporaires,Inconnues,Rares et anormales,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Une chute de portefeuille peut être une opportunité pour :,Abandonner,Revoir ses objectifs,Acheter à prix réduit,Changer de métier,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Il est important de se rappeler :,Que le marché monte et descend,Que la baisse est irrémédiable,Qu’on doit toujours vendre,Que l’or est la seule valeur sûre,A
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Réduire ses pertes dans la panique peut entraîner :,Une meilleure performance,Des pertes durables,Une fiscalité avantageuse,Une meilleure diversification,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Que faut-il vérifier en priorité ?,Le cours du bitcoin,Les commentaires sur les réseaux,Son horizon d’investissement,L’opinion des amis,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,La résilience en bourse repose sur :,La panique contrôlée,La capacité à suivre la foule,Une vision long terme,Une réaction rapide et fréquente,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Une baisse de 20 % est :,Un krach systématique,Un signal de faillite,Une correction potentielle,Un signe de crise personnelle,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Comment éviter d’aggraver les pertes ?,Investir encore plus,Changer de stratégie chaque jour,Respecter sa stratégie initiale,Suivre les tendances Twitter,C
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Vendre après une chute peut :,Bloquer les pertes,Empêcher la reprise,Éviter les impôts,Générer un dividende immédiat,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Une allocation d’actifs bien diversifiée permet :,D’éviter toute perte,D’atténuer l’impact des baisses,De gagner toujours,De maximiser les risques,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Quand faut-il réévaluer son portefeuille ?,En cas de baisse brutale ou changement de situation,Chaque matin,Quand un ami le dit,Lors d’un anniversaire,A
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Les investisseurs expérimentés savent que :,Les baisses sont des opportunités,Il faut fuir le marché,Tout finit en crise,Le timing est inutile,A
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Un krach boursier est souvent suivi par :,Une disparition des marchés,Une reprise à long terme,Un gel total des actifs,Une interdiction d’investir,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Réagir rationnellement signifie :,Ignorer la situation,Analyser et ajuster si nécessaire,Vendre systématiquement,Changer de courtier,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,La baisse d’un ETF diversifié est :,Impossible,Récupérable avec le temps,Une faillite du fonds,Une arnaque,B
🧠 Comportement & psychologie,Comment réagir à une forte baisse de portefeuille,Conserver ses investissements après une baisse dépend :,Du bruit médiatique,De son plan initial et de son horizon,Des conseils sur TikTok,De l’évolution du bitcoin,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Qu’est-ce que la discipline en investissement ?,Suivre les conseils des autres,Investir chaque mois sans réfléchir,Appliquer rigoureusement une stratégie,Changer souvent de méthode,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Pourquoi la discipline est-elle essentielle ?,Pour suivre les modes,Pour maximiser les frais,Pour rester aligné avec ses objectifs,Pour se protéger des banques,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quel comportement reflète une bonne discipline ?,Acheter pendant les hausses,Réagir à la panique,Investir régulièrement selon son plan,Changer de stratégie tous les mois,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quelle est la base d’une discipline d’investissement ?,Une routine populaire,Un plan défini en fonction des objectifs,Les tendances TikTok,Les cours instantanés,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Investir avec discipline signifie :,Ignorer son plan,Suivre la foule,Rester fidèle à sa stratégie malgré les fluctuations,Vendre dès la première baisse,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Une stratégie disciplinée aide à :,Obtenir des conseils gratuits,Éviter les pertes à 100 %,Gérer les émotions et rester cohérent,Gagner chaque mois,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,L’investissement automatique :,N’est jamais conseillé,Facilite la discipline,Fait perdre de l’argent,Est réservé aux experts,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,La régularité des investissements permet :,D’éviter la fiscalité,De lisser le risque sur le long terme,De garantir des gains,D’éviter les crises,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Une discipline d’investissement s’appuie sur :,Des réactions spontanées,Les sentiments du jour,Des décisions réfléchies et planifiées,Le hasard,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quel réflexe illustre un manque de discipline ?,Investir chaque mois,Consulter régulièrement son plan,Changer d’actifs en fonction des rumeurs,Rester sur une stratégie long terme,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Un bon investisseur discipliné :,Suit le bruit du marché,Réagit aux émotions,Suit sa stratégie quoi qu’il arrive,Ne fait rien,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,La discipline permet de :,Réduire les frais de gestion,Renforcer la diversification,Réduire les erreurs liées aux émotions,Doubler les performances garanties,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quel est un obstacle à la discipline ?,La patience,La stratégie automatique,Les émotions et l’actualité,Les outils d’analyse,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quand faut-il revoir sa stratégie ?,À chaque variation,Seulement en cas de changement d’objectifs ou de situation,Jamais,Tous les week-ends,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Une stratégie disciplinée est :,Flexible selon l’humeur,Adaptée aux objectifs personnels,Dictée par les autres,Temporaire,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Une bonne discipline nécessite :,Des paris fréquents,Un suivi clair et des objectifs définis,Des décisions à l’instinct,Un accès constant aux médias,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Les investisseurs disciplinés sont plus susceptibles de :,Perdre rapidement,Faire des choix émotionnels,Atteindre leurs objectifs à long terme,Changer souvent de stratégie,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Un plan rigide sans révision :,Est toujours efficace,Doit être conservé à vie,Doit être ajusté en cas de besoin,Fait gagner plus vite,C
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Quel outil soutient la discipline ?,Les notifications push,Les plans automatisés (versements mensuels),Les conseils non sollicités,La télévision,B
🧠 Comportement & psychologie,Adopter une discipline d’investissement,Un investissement discipliné repose sur :,"Des règles claires, une régularité, une vision long terme",Des paris risqués,Des décisions impulsives,La rapidité des ordres,A
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Quel est le rôle principal des médias financiers ?,Informer le public,Garantir un profit,Rendre les gens riches,Remplacer les conseillers financiers,A
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias peuvent influencer les décisions en :,Ignorant les faits,Exagérant les informations,Évitant les marchés,Suivant les rumeurs,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Une information médiatique sensationnaliste peut :,Calmer les investisseurs,Créer de la panique,Favoriser l’analyse,Éviter les pertes,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias cherchent souvent à :,Promouvoir une stratégie personnalisée,Vendre de la publicité,Détourner les investisseurs,Réduire les biais,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Il est important de :,Réagir à chaque nouvelle,Suivre tous les conseils,Analyser l’information avec recul,Investir après chaque reportage,C
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias sociaux amplifient :,L’analyse fondamentale,La volatilité émotionnelle,La rigueur des marchés,La planification,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Un bon investisseur utilise les médias pour :,Réagir impulsivement,Valider ses émotions,"S’informer, pas pour se faire guider",Multiplier les achats,C
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,L’excès d’informations peut :,Aider la stratégie,Créer de la confusion et des erreurs,Améliorer le rendement,Favoriser l’analyse rationnelle,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les titres accrocheurs visent à :,Informer sereinement,Attirer l’attention,Minimiser l’impact,Renforcer la discipline,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Un média fiable :,Utilise des sources floues,Base ses propos sur les faits,Favorise les rumeurs,Évite la transparence,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les conseils généraux dans les médias doivent :,Être suivis sans filtre,Être adaptés à sa situation,Remplacer un plan,Être partagés massivement,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias peuvent déclencher :,Une stabilité renforcée,Une panique collective,Un renforcement de la stratégie,Un appauvrissement programmé,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,La médiatisation d’un actif peut :,Réduire sa valeur,Créer un effet de mode,Le rendre inutile,Le sécuriser,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,"Face à une information financière, il faut :",La partager immédiatement,L’ignorer systématiquement,La recouper avec d’autres sources,Agir sur-le-champ,C
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les rumeurs véhiculées par les médias peuvent :,Être vérifiées et nuancées,Servir de stratégie,Donner des garanties,Éviter les pertes,A
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Un investisseur discipliné face aux médias :,Reste distant et critique,Suit chaque conseil,Change d’avis régulièrement,Revend ses actifs,A
